year,date,event
1909 CE,1909-03-04,William Howard Taft is inaugurated as President of the United States; deep divisions in his Republican Party over tariffs.
1909 CE,1909-03-10,Anglo-Siamese Treaty of 1909 signed (effective on July 9).
1909 CE,1909-03-12,Indian Councils Act passed.
1909 CE,1909-04-06,Robert E. Peary claims to have reached the North Pole though the claim is subsequently heavily contested.
1909 CE,1909-04-13,A countercoup fails in the Ottoman Empire.
1909 CE,1909-07-16,"A revolution forces Mohammad Ali Shah, Persian Shah of the Qajar dynasty to abdicate in favor of his son Ahmad Shah Qajar."
1910 CE,1910-02-08,Boy Scouts of America is founded.
1910 CE,1910-05-06,George V becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Edward VII.
1910 CE,1910-05-31,Union of South Africa created.
1910 CE,1910-08-28,Kingdom of Montenegro is proclaimed independent.
1910 CE,1910-08-29,Imperial Japan annexes Korea.
1910 CE,1910-10-05,The 5 October 1910 revolution in Portugal and proclamation of the First Portuguese Republic.
1910 CE,1910-11-20,Beginning of the Mexican Revolution (Plan of San Luis Potosí).
1911 CE,1911-01-14,Roald Amundsen first reaches the South Pole.
1911 CE,1911-01-18,"Eugene B. Ely lands on the deck of the USS Pennsylvania stationed in San Francisco harbor, marking the first time an aircraft lands on a ship."
1911 CE,1911-03-25,Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
1911 CE,1911-09-29,"The Italo-Turkish war which led to the capture of Libya by Italy, begins."
1911 CE,1911-10-10,"Xinhai Revolution, which overthrew the Qing dynasty of China, begins."
1911 CE,1911-11-03,"Swiss race car driver and automotive engineer Louis Chevrolet co-founds the Chevrolet Motor Company in Detroit with his brother Arthur Chevrolet, William C. Durant and others."
1911 CE,1911-12-12,New Delhi becomes the capital of British India.
1912 CE,1912-02-08,The African National Congress is founded.
1912 CE,1912-02-12,End of the Chinese Empire. Republic of China established.
1912 CE,1912-02-14,Arizona becomes the last state to be admitted to the continental Union.
1912 CE,1912-03-30,Morocco becomes a protectorate of France.
1912 CE,1912-04-15,Sinking of the RMS Titanic.
1912 CE,1912-07-30,"Emperor Meiji dies, ending the Meiji Era; his son, the Emperor Taishō, becomes Emperor of Japan."
1912 CE,1912-08-25,"The Kuomintang, the Chinese nationalist party, is founded."
1912 CE,1912-10-08,The First Balkan War begins.
1913 CE,1913-01-23,"In the 1913 Ottoman coup d'état, Ismail Enver comes to power."
1913 CE,1913-03-04,Woodrow Wilson is inaugurated as President of the United States.
1913 CE,1913-05-29,Igor Stravinsky's The Rite of Spring infamously premiers in Paris.
1913 CE,1913-05-30,Treaty of London.
1913 CE,1913-08-10,Treaty of Bucharest.
1913 CE,1913-10-07,Ford Motor Company introduces the first moving assembly line.
1913 CE,1913-12-23,The Federal Reserve System is created.
1914 CE,1914-06-28,"Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo, triggering the start of World War I."
1914 CE,1914-07-28,World War I begins.
1914 CE,1914-08-15,Panama Canal opens.
1914 CE,1914-09-01,"Martha, last known passenger pigeon, dies."
1914 CE,1914-09-03,Benedict XV becomes Pope.
1914 CE,1914-12-19,The United Kingdom establishes the Sultanate of Egypt as a protectorate.
1914 CE,1914-12-25,The Christmas truce is celebrated by the Germans and the British along the Western Front.
1915 CE,1915-04-22,"Second Battle of Ypres begins, first widespread use of poison gas."
1915 CE,1915-04-24,The deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian Genocide.
1915 CE,1915-05-07,Sinking of the RMS Lusitania.
1915 CE,1915-07-28,"In the Banana Wars, the United States occupation of Haiti begins."
1916 CE,1916-01-09,The Allies Gallipoli Campaign ends in failure; heavy losses of Australian troops.
1916 CE,1916-04-30,The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary.
1916 CE,1916-06-06,The Warlord Era begins in China after the death of Yuan Shikai.
1916 CE,1916-12-06,Liberal David Lloyd George becomes Prime Minister of the United Kingdom.
1916 CE,1916-12-30,Grigori Rasputin is assassinated in Russia.
1917 CE,1917-03-08,Russian Revolution ends the Russian Empire; beginning of Russian Civil War.
1917 CE,1917-04-06,USA joins the Entente for the last 17 months of World War I.
1917 CE,1917-06-04,The first Pulitzer Prizes announced.
1917 CE,1917-07-25,October Revolution in Russia.
1917 CE,1917-11-08,The Ukrainian–Soviet War begins.
1917 CE,1917-11-26,"The National Hockey League is formed in Montreal, Canada."
1917 CE,1917-12-06,Independence of Finland.
1918 CE,1918-01-22,Ukraine declares independence from Russia.
1918 CE,1918-03-25,Belarus declares independence from Russia.
1918 CE,1918-03-30,The Armenian–Azerbaijani War begins.
1918 CE,1918-05-28,Azerbaijan Democratic Republic declared.
1918 CE,1918-07-04,Mehmed VI becomes the last Sultan of the Ottoman Empire and the last Caliph.
1918 CE,1918-10-29,German Revolution begins.
1918 CE,1918-11-09,Abdication of Kaiser Wilhelm II.
1918 CE,1918-12-01,"The Kingdom of Iceland, a personal union with Denmark, is formed."
1919 CE,1919-01-21,The First Red Scare in the United States. Irish War of Independence begins.
1919 CE,1919-02-14,Polish-Soviet War.
1919 CE,1919-03-02,Comintern established in the Kremlin to coordinate Communist parties worldwide.
1919 CE,1919-04-11,The International Labour Organization is established.
1919 CE,1919-04-13,"The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500."
1919 CE,1919-05-19,Turkish War of Independence begins.
1919 CE,1919-06-28,The Treaty of Versailles redraws European borders.
1919 CE,1919-07-18,End of Polish–Ukrainian War.
1919 CE,1919-08-11,German Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic.
1919 CE,1919-11-19,"Release date of Feline Follies, the first appearance of Felix the Cat (then known as Master Tom)."
1920 CE,1920-01-10,League of Nations founded.
1920 CE,1920-01-17,Prohibition in the United States begins.
1920 CE,1920-02-02,Victory for Estonia in the Estonian War of Independence.
1920 CE,1920-04-25,Mandatory Palestine established.
1920 CE,1920-05-21,The Mexican Revolution ends.
1920 CE,1920-09-05,Mahatma Gandhi launches Non-cooperation movement.
1921 CE,1921-01-25,"Premiere of the science-fiction play R.U.R. (Rossum's Universal Robots), in which the word 'robot' was first used."
1921 CE,1921-03-04,Warren G. Harding is inaugurated as President of the United States.
1921 CE,1921-07-29,Adolf Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins.
1921 CE,1921-10-18,End of the Polish-Soviet War.
1921 CE,1921-11-09,The Italian National Fascist Party is established by Benito Mussolini.
1921 CE,1921-11-17,End of the Ukrainian–Soviet War.
1921 CE,1921-12-15,Coup brings the Pahlavi dynasty to power in Iran.
1922 CE,1922-02-02,James Joyce publishes Ulysses.
1922 CE,1922-02-28,"Egypt gains independence from the United Kingdom, though British forces still occupy the Suez Canal."
1922 CE,1922-06-16,End of Russian Civil War.
1922 CE,1922-06-28,The Irish Civil War begins.
1922 CE,1922-10-23,Conservative Bonar Law becomes Prime Minister of the United Kingdom.
1922 CE,1922-10-28,March on Rome brings Benito Mussolini to power in Italy.
1922 CE,1922-11-01,Ottoman Sultanate abolished by the Turkish Grand National Assembly; Sultan Mehmed VI is deposed.
1922 CE,1922-11-04,Howard Carter discovers Tutankhamen's tomb.
1922 CE,1922-11-14,British Broadcasting Corporation (BBC) established.
1922 CE,1922-12-06,"Irish Free State is established, while the Province of Northern Ireland is created within The United Kingdom."
1922 CE,1922-12-16,"Gabriel Narutowicz, President of Poland, is assassinated."
1922 CE,1922-12-30,"The Union of Soviet Socialist Republics (USSR), the world's first officially Communist state, is formed."
1923 CE,1923-03-03,Time Magazine is first published.
1923 CE,1923-05-22,Stanley Baldwin becomes Prime Minister of the United Kingdom.
1923 CE,1923-05-24,The Irish Civil War ends.
1923 CE,1923-06-09,A military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski.
1923 CE,1923-08-02,Death of Warren G. Harding; Vice President Calvin Coolidge assumes office as President of the United States.
1923 CE,1923-09-01,"The Great Kantō earthquake kills at least 105,000 people in Japan."
1923 CE,1923-10-11,Turkish War of Independence ends; Ankara replaces Istanbul as its capital.
1923 CE,1923-10-29,Kemal Atatürk becomes the first President of the newly established Republic of Turkey.
1923 CE,1923-10-16,The Walt Disney Company is founded.
1923 CE,1923-11-08,"The Beer Hall Putsch, an attempt to overthrow the Weimar Republic, ends in failure and brief imprisonment for Adolf Hitler but brings the Nazi Party to national attention."
1923 CE,1923-11-15,Hyperinflation in the Weimar Republic ends with the introduction of the Rentenmark.
1924 CE,1924-01-21,The death of Vladimir Lenin triggers power struggle between Leon Trotsky and Joseph Stalin.
1924 CE,1924-01-22,Ramsay MacDonald becomes Prime Minister of the United Kingdom; first Labour Party prime minister.
1924 CE,1924-02-12,Rhapsody in Blue by George Gershwin premieres in New York City.
1924 CE,1924-03-03,The Caliphate is abolished by Kemal Atatürk.
1924 CE,1924-05-10,The U.S. Federal Bureau of Investigation founded under J. Edgar Hoover.
1924 CE,1924-05-24,"Immigration Act of 1924 significantly restricts immigration from Asia, the Middle East, and Southern Europe to USA."
1924 CE,1924-08-28,The August Uprising in Georgia against Soviet rule.
1924 CE,1924-11-04,Conservative Stanley Baldwin becomes Prime Minister of the United Kingdom.
1925 CE,1925-01-03,Benito Mussolini delivers a speech to begin his dictatorship.
1925 CE,1925-07-18,Hitler's Mein Kampf is published.
1926 CE,1926-05-28,28 May 1926 coup d'état in Portugal.
1926 CE,1926-06-19,National Broadcasting Company (NBC) founded in New York City.
1926 CE,1926-08-22,General Georgios Kondylis overthrows General Theodoros Pangalos in Greece.
1926 CE,1926-12-25,"Emperor Taishō dies; his son, the Emperor Shōwa (Hirohito) becomes Emperor of Japan."
1927 CE,1927-01-01,The BBC is granted a Royal Charter in the United Kingdom.
1927 CE,1927-05-13,The United Kingdom of Great Britain and Ireland officially becomes the United Kingdom of Great Britain and Northern Ireland.
1927 CE,1927-05-18,"The Bath School disaster, a series of violent attacks by Andrew Kehoe results in 45 deaths in Michigan, USA."
1927 CE,1927-05-20,Saudi Arabia gains independence.
1927 CE,1927-08-01,The Chinese Civil War begins.
1927 CE,1927-09-18,Columbia Broadcasting System (CBS) founded in New York City.
1927 CE,1927-10-04,"Mount Rushmore construction begins in South Dakota, U.S."
1927 CE,1927-10-06,"The Jazz Singer, the first 'talkie', is released."
1927 CE,1927-11-12,Soviet general secretary Joseph Stalin becomes dictator of the Soviet Union.
1928 CE,1928-09-01,King Zog I is crowned in Albania.
1928 CE,1928-09-03,Accidental rediscovery of penicillin by Alexander Fleming.
1928 CE,1928-07-24,The Kellogg-Briand Pact is signed in Paris.
1928 CE,1928-11-18,"Steamboat Willie, is the first appearance of Mickey Mouse."
1928 CE,1928-12-29,The Warlord Era ends in China.
1929 CE,1929-02-11,"Pope Pius XI signs the Lateran Treaty with Italian leader Benito Mussolini, after which the Vatican City is recognised as a sovereign state."
1929 CE,1929-02-14,"Saint Valentine's Day Massacre, the murder of seven members and associates of Chicago's North Side Gang."
1929 CE,1929-03-04,Herbert Hoover is inaugurated as President of the United States.
1929 CE,1929-05-16,The first Academy Awards are presented.
1929 CE,1929-06-05,Ramsay MacDonald becomes Prime Minister of the United Kingdom.
1930 CE,1930-02-18,Clyde Tombaugh discovers Pluto.
1930 CE,1930-03-12,Salt March by Mohandas Gandhi and the official start of civil disobedience in British India.
1930 CE,1930-04-02,Haile Selassie becomes Emperor of Abyssinia.
1930 CE,1930-04-19,"Sinkin' in the Bathtub, the first Looney Tunes short, is released."
1930 CE,1930-05-27,Construction of Chrysler Building completed.
1930 CE,1930-08-04,"King Kullen, widely regarded as the first supermarket, opens in Queens, New York City."
1930 CE,1930-09-14,"Aided by the Great Depression, the Nazi Party increases its share of the vote from 2.6% to 18.3%."
1930 CE,1930-11-03,The Vargas Era begins in Brazil.
1931 CE,1931-02-12,Vatican Radio first began broadcasting.
1931 CE,1931-03-03,"'The Star-Spangled Banner' is adopted as the United States's national anthem."
1931 CE,1931-05-01,Empire State Building completed.
1931 CE,1931-04-14,The Second Spanish Republic is declared.
1931 CE,1931-11-07,The Chinese Soviet Republic is proclaimed by Mao Zedong.
1931 CE,1931-12-12,Christ the Redeemer completed.
1932 CE,1932-03-01,Lindbergh baby kidnapping.
1932 CE,1932-03-09,Éamon de Valera becomes President of the Executive Council (prime minister) of the Irish Free State.
1932 CE,1932-06-04,Military coup in Chile.
1932 CE,1932-06-24,Siamese Revolution establishes a constitutional monarchy.
1932 CE,1932-09-09,The Chaco War between Bolivia and Paraguay begins.
1932 CE,1932-12-19,BBC World Service starts broadcasting.
1933 CE,1933-01-30,Adolf Hitler becomes Chancellor of Germany.
1933 CE,1933-03-02,King Kong is released in New York.
1933 CE,1933-03-04,"Franklin D. Roosevelt is inaugurated as President of the United States, after being elected to the first of his record four terms."
1933 CE,1933-03-27,Japan announces it will leave the League of Nations.
1933 CE,1933-10-14,"Germany announces its withdrawal from the League of Nations and the World Disarmament Conference, after the U.S., the U.K. and France deny its request to increase its defense armaments under the Versailles Treaty."
1933 CE,1933-12-05,Prohibition in the United States is abolished.
1934 CE,1934-03-24,The United States grants more autonomy to the Philippines.
1934 CE,1934-05-23,Bonnie and Clyde are shot to death in a police ambush.
1934 CE,1934-07-22,John Dillinger is gunned down by the FBI outside the Biograph Theater.
1934 CE,1934-08-01,The United States occupation of Haiti ends.
1934 CE,1934-08-02,"With the death of President Hindenburg, Hitler declares himself Führer of Germany."
1934 CE,1934-10-16,Mao Zedong begins the Long March.
1935 CE,1935-05-31,Establishment of 20th Century Fox.
1935 CE,1935-03-21,"Reza Shah of Iran asks the international community to formally adopt the name 'Iran' to refer to the country, instead of the name 'Persia'."
1935 CE,1935-06-12,Chaco War ends.
1935 CE,1935-09-15,Enactment of the Nuremberg racial laws.
1935 CE,1935-10-03,The Second Italo-Abyssinian War begins and goes until February 1937. It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini.
1936 CE,1936-01-20,Edward VIII becomes King of the British Commonwealth and Emperor of India.
1936 CE,1936-05-09,Italy annexes Ethiopia.
1936 CE,1936-07-17,Beginning of the Spanish Civil War.
1936 CE,1936-09-07,"'Benjamin', the last known thylacine, dies in Hobart Zoo."
1936 CE,1936-10-31,Boy Scouts of the Philippines is founded.
1936 CE,1936-12-11,"After a reign shorter than one year, Edward VIII abdicates and hands the throne to his brother, George VI."
1937 CE,1937-05-06,"German zeppelin Hindenburg crashes in Lakehurst, New Jersey, ending the airship era."
1937 CE,1937-05-28,Neville Chamberlain becomes Prime Minister of the United Kingdom.
1937 CE,1937-07-07,"Japanese invasion of China, and the beginning of World War II in the Far East."
1937 CE,1937-08-28,Toyota founded in Japan by Kiichiro Toyoda.
1937 CE,1937-09-21,J. R. R. Tolkien publishes The Hobbit.
1937 CE,1937-12-13,"The Nanjing Massacre begins, ending about a month later in January 1938. It results in 40,000 to 200,000 deaths according to various estimates."
1937 CE,1937-12-21,Snow White and the Seven Dwarfs is the first feature-length animated movie released.
1938 CE,1938-03-12,Anschluss unifies Germany and Austria.
1938 CE,1938-04-18,DC Comics hero Superman has its first appearance.
1938 CE,1938-06-15,"Hungarian newspaper editor László Bíró fills a British patent of the first commercially successful ballpoint pen. This would popularize the instrument, currently the most widely used for writing, after World War II."
1938 CE,1938-09-30,Munich agreement hands Czechoslovakia to Nazi Germany.
1939 CE,1939-03-02,Pius XII becomes Pope.
1939 CE,1939-03-30,DC's Detective Comics#27 marks the first appearance of Batman in comics.
1939 CE,1939-04-01,End of Spanish Civil War; Francisco Franco becomes dictator of Spain.
1939 CE,1939-07-15,DZRH first began broadcasting.
1939 CE,1939-08-23,The Molotov–Ribbentrop Pact between Germany and the Soviet Union.
1939 CE,1939-08-25,Release date of MGM's The Wizard of Oz.
1939 CE,1939-09-03,Britain and France declare war on Germany; World War II begins.
1939 CE,1939-09-13,"Ferrari founded in Modena, Italy (as Auto Avio Costruzioni) by Enzo Ferrari."
1939 CE,1939-12-15,Release date of Gone with the Wind.
1940 CE,1940-03-13,The Winter War between Soviet Union and Finland ends with a costly victory for the USSR.
1940 CE,1940-05-10,Winston Churchill becomes Prime Minister of the United Kingdom.
1940 CE,1940-05-15,"McDonald's founded in San Bernardino, California."
1940 CE,1940-08-20,Leon Trotsky is assassinated in Mexico.
1940 CE,1940-09-07,"The Blitz, a German bombing campaign against the United Kingdom, begins."
1941 CE,1941-06-25,Continuation War between Finland and the Soviet Union begins. Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.
1941 CE,1941-09-08,Siege of Leningrad begins.
1941 CE,1941-12-07,The Japanese Attack on Pearl Harbor leads to the USA joining World War II.
1942 CE,1942-04-09,Bataan Death March.
1942 CE,1942-08-13,Release date of Disney's Bambi.
1943 CE,1943-01-15,The Pentagon is completed.
1943 CE,1943-02-02,Battle of Stalingrad ends with over two million casualties and the retreat of the German Army.
1943 CE,1943-05-15,American Broadcasting Company (ABC) founded in New York City.
1943 CE,1943-10-14,José P. Laurel takes the oath of office as President of the Second Philippine Republic.
1944 CE,1944-01-27,The Siege of Leningrad ends with Soviet victory after over a million deaths.
1944 CE,1944-06-01,"First operational electronic computer, Colossus, comes online."
1944 CE,1944-06-06,D-Day landings in Normandy.
1944 CE,1944-07-20,Adolf Hitler survives the 20 July plot to assassinate him led by Claus von Stauffenberg.
1944 CE,1944-09-19,The Continuation War ends.
1945 CE,1945-04-12,Death of Franklin D. Roosevelt; Vice President Harry Truman assumes office as President of the United States.
1945 CE,1945-04-28,Execution of Benito Mussolini.
1945 CE,1945-04-30,The Suicide of Adolf Hitler in Berlin as Nazi Germany collapses.
1945 CE,1945-06-26,United Nations founded (UN Charter).
1945 CE,1945-07-26,Clement Attlee becomes Prime Minister of the United Kingdom.
1945 CE,1945-08-15,Victory over Japan Day.
1945 CE,1945-08-17,Independence of Indonesia proclaimed begin Indonesian National Revolution.
1945 CE,1945-10-08,"The microwave cooking oven is patented, with the one of the first prototypes placed at a Boston restaurant for testing."
1945 CE,1945-10-29,"In Brazil, Getúlio Vargas is deposed in a coup."
1946 CE,1946-03-22,Independence of Jordan.
1946 CE,1946-03-30,Greek Civil War begins.
1946 CE,1946-06-02,Italy becomes a republic.
1946 CE,1946-06-09,Bhumibol Adulyadej becomes King of Thailand.
1946 CE,1946-07-04,The Treaty of Manila declares Philippines independent.
1946 CE,1946-08-16,Mustafa Barzani founds the Kurdistan Democratic Party.
1946 CE,1946-10-27,French Fourth Republic established.
1946 CE,1946-12-19,First Indochina War begins.
1947 CE,1947-03-12,Harry Truman establishes the Truman Doctrine of containment of Communism.
1947 CE,1947-04-15,Jackie Robinson becomes the first baseball player of color to play major league baseball.
1947 CE,1947-07-26,Creation of the U.S. Central Intelligence Agency.
1948 CE,1948-01-30,Assassination of Mahatma Gandhi.
1948 CE,1948-02-04,Independence of Burma and Ceylon (Sri Lanka) from Britain.
1948 CE,1948-04-03,"The Marshall Plan, an American initiative for foreign aid of $13 billion to 16 Western European countries, comes into effect."
1948 CE,1948-04-07,The World Health Organization (WHO) founded.
1948 CE,1948-04-16,The Organisation for Economic Co-operation and Development (OECD) founded.
1948 CE,1948-04-23,The Soviet Sever-2 expedition become the first party to indisputably set foot on the North Pole.
1948 CE,1948-05-14,United Nations establishes Israeli Independence and the formation of the official State of Israel.
1948 CE,1948-05-15,The Arab–Israeli War begins.
1948 CE,1948-06-24,Berlin Blockade begins.
1948 CE,1948-09-24,"Honda founded in Hamamatsu, Japan by Soichiro Honda and Takeo Fujisawa."
1949 CE,1949-01-05,The First Indo-Pakistani War ends.
1949 CE,1949-03-10,The Arab–Israeli War ends.
1949 CE,1949-04-04,The Creation of NATO.
1949 CE,1949-05-12,Berlin Blockade ends.
1949 CE,1949-05-23,Creation of NATO-backed Federal Republic of Germany (West Germany).
1949 CE,1949-06-08,George Orwell publishes Nineteen Eighty-Four.
1949 CE,1949-10-01,Chinese Communist Revolution: Establishment of the People's Republic of China under CCP Chairman Mao Zedong; The Republic of China relocates to Taiwan.
1949 CE,1949-10-07,Creation of the socialist German Democratic Republic (East Germany).
1950 CE,1950-01-26,The Constitution of India comes into effect.
1950 CE,1950-02-15,Release date of Disney's Cinderella.
1950 CE,1950-06-25,North Korean invasion of South Korea begins the Korean War.
1950 CE,1950-08-25,"Bertie the Brain, one of the first computer games, is released."
1950 CE,1950-11-17,Lhamo Dondrub assumes full political powers as the 14th Dalai Lama of Tibet.
1951 CE,1951-07-01,"Colombo Plan, a regional organisation of 27 countries designed to strengthen economic and social development of member countries in the Asia-Pacific region, commences."
1951 CE,1951-07-28,Release date of Disney's Alice in Wonderland.
1951 CE,1951-09-08,The Treaty of San Francisco ends the Occupation of Japan and formally concludes hostilities between Japan and the US.
1951 CE,1951-09-18,Release date of the acclaimed science fiction film The Day the Earth Stood Still.
1951 CE,1951-10-26,Winston Churchill becomes Prime Minister of the United Kingdom.
1952 CE,1952-02-06,Queen Elizabeth II becomes Monarch of the Commonwealth realms.
1952 CE,1952-05-02,The first passenger jet flight route opens between London and Johannesburg.
1952 CE,1952-06-28,Establishment of Miss Universe.
1952 CE,1952-07-23,Egyptian Revolution under Gamal Abdel Nasser overthrows King Farouk and ends British occupation.
1952 CE,1952-07-26,Death of Eva Perón.
1952 CE,1952-11-01,"The United States successfully detonates the first hydrogen bomb, codenamed 'Ivy Mike', at Eniwetok Atoll in the Marshall Islands in the central Pacific Ocean, with a yield of 10.4 megatons."
1953 CE,1953-01-20,Dwight D. Eisenhower is inaugurated as President of the United States.
1953 CE,1953-03-05,Death of Stalin.
1953 CE,1953-04-25,Discovery of the three-dimensional structure of DNA.
1953 CE,1953-06-02,Coronation of Elizabeth II.
1953 CE,1953-05-29,First ascent of Mount Everest.
1953 CE,1953-07-27,End of the Korean War.
1953 CE,1953-08-19,Mohammed Mossadeq deposed in Iran.
1953 CE,1953-10-23,ABS-CBN first began broadcasting.
1953 CE,1953-11-09,Independence of Cambodia.
1954 CE,1954-04-12,"The song Rock Around the Clock, by Bill Haley and His Comets, brings rock and roll to the American mainstream."
1954 CE,1954-05-17,"The Supreme Court of the United States decides Brown v. Board of Education, ordering an end to racial segregation in public schools."
1954 CE,1954-07-29,"J. R. R. Tolkien publishes The Fellowship of the Ring, the first volume of The Lord of the Rings."
1954 CE,1954-08-01,First Indochina War ends.
1954 CE,1954-09-03,First Taiwan Strait Crisis begins.
1954 CE,1954-09-14,The Soviet Union generates first electricity by nuclear power.
1954 CE,1954-10-23,The Western European Union is established.
1954 CE,1954-11-01,Algerian War begins.
1954 CE,1954-11-03,Godzilla is released in Japan.
1955 CE,1955-02-24,Formation of the Central Treaty Organization.
1955 CE,1955-04-12,"The Salk polio vaccine having passed large-scale trials earlier in the United States, receives full approval by the Food and Drug Administration."
1955 CE,1955-04-18,Death of Albert Einstein.
1955 CE,1955-05-01,First Taiwan Strait Crisis ends.
1955 CE,1955-05-14,Signing of the Warsaw Pact.
1955 CE,1955-08-18,First Sudanese Civil War begins.
1956 CE,1956-01-01,Independence of Sudan from Britain.
1956 CE,1956-03-07,The United States recognises Moroccos independence from France.
1956 CE,1956-03-20,Independence of Tunisia from France.
1956 CE,1956-03-23,Pakistan becomes a republic.
1956 CE,1956-11-11,The Hungarian Uprising crushed by Soviet troops.
1957 CE,1957-01-10,Harold Macmillan becomes Prime Minister of the United Kingdom.
1957 CE,1957-03-06,Independence of Ghana from Britain.
1957 CE,1957-03-17,Philippine President Ramon Magsaysay and 24 others are killed in a plane crash.
1957 CE,1957-03-25,"Treaty of Rome, which would eventually lead to the European Union."
1957 CE,1957-08-31,Independence of the Federation of Malaya.
1957 CE,1957-10-04,Launch of Sputnik 1 and the beginning of the Space Age.
1957 CE,1957-11-03,Laika becomes the first animal launched into Earth orbit.
1957 CE,1957-12-20,First flight of the Boeing 707.
1958 CE,1958-05-31,Pizza Hut founded.
1958 CE,1958-07-29,NASA formed.
1958 CE,1958-08-23,Federal Aviation Administration formed.
1958 CE,1958-10-02,Guinea gains independence from France.
1958 CE,1958-10-04,French Fifth Republic established.
1958 CE,1958-10-28,John XXIII becomes Pope.
1959 CE,1959-01-01,Cuban Revolution ends.
1959 CE,1959-01-03,"Admission of Alaska, the 49th state, into the United States."
1959 CE,1959-03-09,Mattel's Barbie doll debuts in the United States.
1959 CE,1959-02-19,Independence of Cyprus.
1959 CE,1959-08-21,"Admission of Hawaii, the 50th state, into the United States."
1959 CE,1959-10-07,The USSR probe Luna 3 sends back the first ever photos of the far side of the Moon.
1959 CE,1959-11-01,"Beginning of the Vietnam War, which until 1975."
1960 CE,1960-01-22,"First crewed descent to the deepest point on Earth, the Mariana Trench."
1960 CE,1960-03-21,"The Sharpeville Massacre, in which the police opened fire against a protesting crowd at a police station in the South African township of Sharpeville in Transvaal, resulting in 69 deaths and 180 injuries."
1960 CE,1960-04-21,"Construction of Brasília, Brazil's new capital, finished."
1960 CE,1960-05-01,1960 U-2 incident sparks deterioration in relations between superpowers.
1960 CE,1960-05-09,The birth control pill becomes commercially available.
1960 CE,1960-05-16,Construction of the first laser.
1960 CE,1960-05-22,"An earthquake in Valdivia, Chile of magnitude 9.4 to 9.6, the highest ever recorded, causes 1,000 to 6,000 deaths."
1960 CE,1960-10-12,"Inejiro Asanuma, a Japanese socialist politician, is assassinated during a broadcast on TV."
1960 CE,1960-11-08,The 1960 United States presidential election marks the first televised debates between presidential candidates.
1961 CE,1961-01-17,The assassination of Patrice Lumumba begins the Congo Crisis.
1961 CE,1961-01-20,John F. Kennedy is inaugurated as President of the United States.
1961 CE,1961-04-12,"Yuri Gagarin, flying the Vostok 1 spacecraft as part of the Vostok program, becomes the first human in space."
1961 CE,1961-05-25,"In an address to Congress, John F. Kennedy declares the United States' objective of 'landing a man on the Moon and returning him safely to the Earth' by the end of the decade. This would be in fact achieved by the Apollo Project, despite several challenges and much doubt."
1961 CE,1961-08-13,Construction of the Berlin Wall.
1961 CE,1961-09-18,UN Secretary General Dag Hammarskjöld dies in a plane crash.
1962 CE,1962-03-19,The Algerian War ends with the independence of Algeria.
1962 CE,1962-07-02,"Walmart founded in Rogers, Arkansas by Sam Walton."
1962 CE,1962-09-26,"A coup ends the Mutawakkilite Kingdom of Yemen, establishing the Yemen Arab Republic and starting the North Yemen Civil War."
1962 CE,1962-10-11,The Second Vatican Council is opened by Pope John XXIII.
1963 CE,1963-01-01,"Premiere of the Astro Boy anime, the first to be broadcast overseas."
1963 CE,1963-03-22,"The Beatles' first record, Please Please Me, and the beginnings of the British Invasion."
1963 CE,1963-05-08,Beginning of the Buddhist crisis in South Vietnam during the Vietnam War.
1963 CE,1963-05-27,Bob Dylan releases The Freewheelin' Bob Dylan.
1963 CE,1963-06-21,Paul VI becomes Pope.
1963 CE,1963-07-26,"Launch of the first geostationary satellite, Syncom 2."
1963 CE,1963-08-28,"Martin Luther King Jr. delivers 'I Have a Dream' speech at the March on Washington for Jobs and Freedom."
1963 CE,1963-11-02,"1963 South Vietnamese coup: Arrest and assassination of Ngo Dinh Diem, the South Vietnamese President."
1963 CE,1963-11-22,Assassination of John F. Kennedy. Vice President Lyndon B. Johnson assumes office as President of the United States.
1964 CE,1964-01-12,Zanzibar Revolution overthrows Afro Shiraz ruling class; Zanzibar merges with Tanganyika to form Tanzania.
1964 CE,1964-05-27,Colombian armed conflict begins.
1964 CE,1964-07-02,Civil Rights Act abolishes segregation in the USA.
1964 CE,1964-07-04,Rhodesian Bush War begins.
1964 CE,1964-07-06,Independence of Malawi.
1964 CE,1964-08-02,The Gulf of Tonkin incident led to the escalation of U.S. military involvement in the Vietnam War.
1964 CE,1964-09-21,Independence of Malta.
1964 CE,1964-10-14,Leonid Brezhnev ousts Khrushchev and assumes power in the Soviet Union.
1964 CE,1964-10-16,China detonates its first nuclear weapon.
